variable_name	code_list	definition
dst_rlt_new		Drug resistance surveillance: Among new pulmonary TB patients with positive identification for M. Tuberculosis complex (confirmed by culture and/or line-probe assay): number of patients with available drug susceptibility testing results for isoniazid and rifampicin
dst_rlt_ret		Drug resistance surveillance: Among patients previously treated for TB with positive identification for M. Tuberculosis complex (confirmed by culture and/or line-probe assay): number of patients with available drug susceptibility testing results for isoniazid and rifampicin
dst_rlt_rr_new		Number of new bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to rifampicin (regardless of result for isoniazid)
dst_rlt_rr_ret		Number of previously treated bacteriologically confirmed pulmonary TB patients with test results for rifampicin and isoniazid and with resistance to rifampicin (regardless of result for isoniazid)
mdr_dst_rlt		Drug resistance surveillance: Total number of pulmonary MDR-TB patients with drug susceptibility test results for any fluoroquinolone and any second-line injectable agent
mdr_new		Drug resistance surveillance: Among new TB patients with available drug susceptibility testing results (variable dst_rlt_new):  number of patients with resistance to isoniazid and rifampicin  (MDR-TB)
mdr_ret		Drug resistance surveillance: Among patients previously treated for TB with available drug susceptibility testing results (variable dst_rlt_ret):  number of patients with resistance to isoniazid and rifampicin  (MDR-TB)
nrr_014		Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number susceptible to rifampicin and who are aged 0-14 years
nrr_15plus		Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number susceptible to rifampicin and who are aged 15 years and over
nrr_ageunk		Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number susceptible to rifampicin and whose age is unknown
nrr_hivneg		Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number susceptible to rifampicin and who are HIV-negative
nrr_hivpos		Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number susceptible to rifampicin and who are HIV-positive
nrr_hivunk		Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number susceptible to rifampicin and whose HIV status is unknown
pulm_labconf_new		Number of new bacteriologically confirmed pulmonary TB cases
pulm_labconf_ret		Number of previously treated bacteriologically confirmed pulmonary TB cases
pulm_labconf_unk		Number of bacteriologically confirmed pulmonary TB cases with unknown TB treatment history
r_rlt_new		Number of new bacteriologically confirmed pulmonary TB patients with test results for rifampicin
r_rlt_ret		Number of previously treated bacteriologically confirmed pulmonary TB patients with test results for rifampicin
rr_014		Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and who are aged 0-14 years
rr_15plus		Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and who are aged 15 years and over
rr_ageunk		Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and whose age is unknown
rr_dr_2li		Number of new or previously treated bacteriologically confirmed pulmonary TB patients with resistance to rifampicin and resistance to second-line injectable agents
rr_dr_fq		Number of new or previously treated bacteriologically confirmed pulmonary TB patients with resistance to rifampicin and resistance to fluoroquinolones
rr_dr_fq_2li		Number of new or previously treated bacteriologically confirmed pulmonary TB patients with resistance to rifampicin and resistance to both fluoroquinolones and second-line injectable agents
rr_ds_fq2li		Number of new or previously treated bacteriologically confirmed pulmonary TB patients with resistance to rifampicin and susceptible to both fluoroquinolones and second-line injectable agents
rr_dst_rlt		Number of new or previously treated bacteriologically confirmed pulmonary TB patients with resistance to rifampicin and with test results for any fluoroquinolone and any second-line injectable agent
rr_dst_rlt_fq		Number of new or previously treated bacteriologically confirmed pulmonary TB patients with resistance to rifampicin and with test results for any fluoroquinolone
rr_fqr		Number of new or previously treated bacteriologically confirmed pulmonary TB patients with resistance to rifampicin and resistance to fluoroquinolones
rr_hivneg		Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and who are HIV-negative
rr_hivpos		Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and who are HIV-positive
rr_hivunk		Among patients with results for rifampicin testing in r_rlt_new and r_rlt_ret, number resistant to rifampicin and whose HIV status is unknown
rr_new		Number of new bacteriologically confirmed pulmonary TB patients with resistance to rifampicin (RR-TB)
rr_ret		Number of previously treated bacteriologically confirmed pulmonary TB patients with resistance to rifampicin (RR-TB)
xdr		Drug resistance surveillance: Among pulmonary MDR-TB patients with drug susceptibility test results for any fluoroquinolone (FQ) and any second-line injectable agent (2LI) (variable mdr_dst_rlt): number with any resistance to both FQ and 2LI (i.e. XDR-TB)
c_cdr		Case detection rate (all forms) [also known as TB treatment coverage], percent
c_cdr_hi		Case detection rate (all forms) [also known as TB treatment coverage], percent, high bound
c_cdr_lo		Case detection rate (all forms) [also known as TB treatment coverage], percent, low bound
c_newinc_100k		Case notification rate, which is the total of new and relapse cases and cases with unknown previous TB treatment history per 100 000 population (calculated)
cfr		Estimated TB case fatality ratio
cfr_hi		Estimated TB case fatality ratio: high bound
cfr_lo		Estimated TB case fatality ratio: low bound
cfr_pct		Estimated TB case fatality ratio expressed as a percentage
cfr_pct_hi		Estimated TB case fatality ratio: high bound expressed as a percentage
cfr_pct_lo		Estimated TB case fatality ratio: low bound expressed as a percentage
e_inc_100k		Estimated incidence (all forms) per 100 000 population
e_inc_100k_hi		Estimated incidence (all forms) per 100 000 population, high bound
e_inc_100k_lo		Estimated incidence (all forms) per 100 000 population, low bound
e_inc_num		Estimated number of incident cases (all forms)
e_inc_num_hi		Estimated number of incident cases (all forms), high bound
e_inc_num_lo		Estimated number of incident cases (all forms), low bound
e_inc_rr_num		Estimated incidence of rifampicin resistant TB (absolute number)
e_inc_rr_num_hi		Estimated incidence of rifampicin resistant TB (absolute number): high bound
e_inc_rr_num_lo		Estimated incidence of rifampicin resistant TB (absolute number): low bound
e_inc_tbhiv_100k		Estimated incidence of TB cases who are HIV-positive per 100 000 population
e_inc_tbhiv_100k_hi		Estimated incidence of TB cases who are HIV-positive per 100 000 population, high bound
e_inc_tbhiv_100k_lo		Estimated incidence of TB cases who are HIV-positive per 100 000 population, low bound
e_inc_tbhiv_num		Estimated incidence of TB cases who are HIV-positive
e_inc_tbhiv_num_hi		Estimated incidence of TB cases who are HIV-positive, high bound
e_inc_tbhiv_num_lo		Estimated incidence of TB cases who are HIV-positive, low bound
e_mdr_pct_rr		Estimated percentage of rifampicin resistant TB cases that have MDR-TB
e_mdr_pct_rr_new		Estimated percentage of new rifampicin resistant TB cases that have MDR-TB
e_mdr_pct_rr_ret		Estimated percentage of previously treated rifampicin resistant TB cases that have MDR-TB
e_mort_100k		Estimated mortality of TB cases (all forms) per 100 000 population
e_mort_100k_hi		Estimated mortality of TB cases (all forms) per 100 000 population, high bound
e_mort_100k_lo		Estimated mortality of TB cases (all forms) per 100 000 population, low bound
e_mort_exc_tbhiv_100k		Estimated mortality of TB cases (all forms, excluding HIV) per 100 000 population
e_mort_exc_tbhiv_100k_hi		Estimated mortality of TB cases (all forms, excluding HIV), per 100 000 population, high bound
e_mort_exc_tbhiv_100k_lo		Estimated mortality of TB cases (all forms, excluding HIV), per 100 000 population, low bound
e_mort_exc_tbhiv_num		Estimated number of deaths from TB (all forms, excluding HIV)
e_mort_exc_tbhiv_num_hi		Estimated number of deaths from TB (all forms, excluding HIV), high bound
e_mort_exc_tbhiv_num_lo		Estimated number of deaths from TB (all forms, excluding HIV), low bound
e_mort_num		Estimated number of deaths from TB (all forms)
e_mort_num_hi		Estimated number of deaths from TB (all forms), high bound
e_mort_num_lo		Estimated number of deaths from TB (all forms), low bound
e_mort_tbhiv_100k		Estimated mortality of TB cases who are HIV-positive, per 100 000 population
e_mort_tbhiv_100k_hi		Estimated mortality of TB cases who are HIV-positive, per 100 000 population, high bound
e_mort_tbhiv_100k_lo		Estimated mortality of TB cases who are HIV-positive, per 100 000 population, low bound
e_mort_tbhiv_num		Estimated number of deaths from TB in people who are HIV-positive
e_mort_tbhiv_num_hi		Estimated number of deaths from TB in people who are HIV-positive, high bound
e_mort_tbhiv_num_lo		Estimated number of deaths from TB in people who are HIV-positive, low bound
e_pop_num		Estimated total population number
e_rr_in_notified_labconf_pulm		Estimated number of RR-TB cases among notified bacteriologically confirmed pulmonary TB cases
e_rr_in_notified_labconf_pulm_hi		Estimated number of RR-TB cases among notified bacteriologically confirmed pulmonary TB cases: high bound
e_rr_in_notified_labconf_pulm_lo		Estimated number of RR-TB cases among notified bacteriologically confirmed pulmonary TB cases: low bound
e_rr_pct_new		Estimated percentage of new TB cases with rifampicin resistant TB
e_rr_pct_new_hi		Estimated percentage of new TB cases with rifampicin resistant TB: high bound
e_rr_pct_new_lo		Estimated percentage of new TB cases with rifampicin resistant TB: low bound
e_rr_pct_ret		Estimated percentage of previously treated TB cases with rifampicin resistant TB
e_rr_pct_ret_hi		Estimated percentage of previously treated TB cases with rifampicin resistant TB: high bound
e_rr_pct_ret_lo		Estimated percentage of previously treated TB cases with rifampicin resistant TB: low bound
e_tbhiv_prct		Estimated HIV in incident TB (percent)
e_tbhiv_prct_hi		Estimated HIV in incident TB (percent), high bound
e_tbhiv_prct_lo		Estimated HIV in incident TB (percent), low bound
source_drs_coverage_new		Indicates whether national or subnational data from drug resistance surveys or surveillance was used to estimate the proportion of new TB cases with MDR-TB
source_drs_coverage_ret		Indicates whether national or subnational data from drug resistance surveys or surveillance was used to estimate the proportion of previously treated TB cases with MDR-TB
source_drs_year_new		Year of drug resistance surveillance, survey or model used to estimate proportion of new TB cases with MDR-TB
source_drs_year_ret		Year of drug resistance surveillance, survey or model used to estimate proportion of previously treated TB cases with MDR-TB
source_rr_new		Method used to estimate proportion of new TB patients with rifampicin-resistant TB
source_rr_ret		Method used to estimate proportion of previously treated TB patients with rifampicin-resistant TB
exp_cpp_dstb		Average cost of drugs spent per patient starting first-line TB treatment, excluding buffer stock (US Dollars)
exp_cpp_mdr		Average cost of drugs spent per patient starting second-line treatment for MDR-TB, excluding buffer stock (US Dollars)
exp_cpp_tpt		Average cost of drugs spent per person starting TB preventive treatment, excluding buffer stock (US Dollars)
exp_cpp_xdr		Average cost of drugs spent per patient starting XDR-TB treatment, excluding buffer stock (US Dollars)
exp_fld		Actual expenditure on drugs to treat drug-susceptible TB (US Dollars)
exp_lab		Actual expenditure on laboratory infrastructure, equipment and supplies (US Dollars)
exp_mdrmgt		Actual expenditure on programme costs to treat drug-resistant TB (US Dollars)
exp_orsrvy		Actual expenditure on operational research and surveys (US Dollars)
exp_oth		Actual expenditure on all other budget line items (US Dollars)
exp_patsup		Actual expenditure on patient support (US Dollars)
exp_prog		Actual expenditure on programme costs to treat drug-susceptible TB (US Dollars)
exp_sld		Actual expenditure on drugs to treat drug-resistant TB (US Dollars)
exp_staff		Actual expenditure on National TB Programme staff (central unit staff and subnational TB staff)  (US Dollars)
exp_tbhiv		Actual expenditure on collaborative TB/HIV activities (US Dollars)
exp_tot		Total actual expenditure (US Dollars)
exp_tpt		Actual expenditure on drugs for TB preventive treatment (US Dollars)
hcfvisit_dstb		Typical number of visits to a health facility after diagnosis for patients starting first-line TB treatment
hcfvisit_mdr		Typical number of visits to a health facility after diagnosis for patients starting MDR-TB/XDR-TB treatment
hosp_type_mdr	2=Not applicable; 140=Primary-level hospital; 141=Secondary-level hospital; 142= Tertiary-level hospital	Type of facility most often used if MDR-TB patients are hospitalized
hospd_dstb_dur		Estimated average duration of stay if patients starting first-line TB treatment are hospitalized (days)
hospd_dstb_prct		Estimated percentage of patients starting first-line TB treatment that are hospitalized (%)
hospd_mdr_dur		Estimated average duration of stay if patients starting MDR-TB/XDR-TB treatment are hospitalized (days)
hospd_mdr_prct		Estimated percentage of patients starting MDR-TB/XDR-TB treatment that are hospitalized (%)
rcvd_fld		Funding received for drugs to treat drug-susceptible TB (US Dollars)
rcvd_lab		Funding received for laboratory infrastructure, equipment and supplies (US Dollars)
rcvd_mdrmgt		Funding received for programme costs to treat drug-resistant TB (US Dollars)
rcvd_orsrvy		Funding received for operational research and surveys (US Dollars)
rcvd_oth		Funding received for all other budget line items (US Dollars)
rcvd_patsup		Funding received for patient support (US Dollars)
rcvd_prog		Funding received for programme costs to treat drug-susceptible TB (US Dollars)
rcvd_sld		Funding received for drugs to treat drug-resistant TB (US Dollars)
rcvd_staff		Funding received for National TB Programme staff (central unit staff and subnational TB staff)  (US Dollars)
rcvd_tbhiv		Funding received for collaborative TB/HIV activities (US Dollars)
rcvd_tot		Total funding received for all budget line items (US Dollars)
rcvd_tot_domestic		Funding received from domestic sources, including loans (US Dollars)
rcvd_tot_gf		Funding received from the Global Fund to Fight AIDS, Tuberculosis and Malaria (US Dollars)
rcvd_tot_grnt		Funding received from other sources (US Dollars)
rcvd_tot_sources		Total funding received from all sources (US Dollars)
rcvd_tot_usaid		Funding received from USAID (US Dollars)
rcvd_tpt		Funding received for drugs for TB preventive treatment (US Dollars)
collab_private_lab	0=No; 1=yes	Were any non-NTP laboratories in the private sector (including NGOs) collaborating with the NTP?
collab_public_lab	0=No; 1=yes	Were any non-NTP laboratories in the public sector collaborating with the NTP?
culture		Number of sites providing TB diagnostic services using culture at the end of the reporting year
dst		Number of sites providing phenotypic drug susceptibility testing for first-line drugs only at the end of the reporting year
dst_eqa_pass		Number of sites providing phenotypic drug susceptibility testing for first-line drugs only that demonstrated proficiency by panel testing
lab_cul		Number of laboratories providing TB diagnostic services using culture
lab_dst		Number of laboratories providing TB diagnostic services using drug susceptibility testing
lab_dst_eqa		Number of drug susceptibility testing laboratories for which External Quality Assessment (EQA) was carried out
lab_dst_eqa_pass		Number of drug susceptibility testing laboratories which demonstrated acceptable performance
lab_lpa		Number of laboratories providing TB diagnostic services using Line Probe Assay (LPA) rifampicin
lab_lpa_eqa		Number of Line Probe Assay (LPA) rifampicin  laboratories for which External Quality Assessment (EQA) was carried out
lab_lpa_eqa_pass		Number of Line Probe Assay (LPA) rifampicin laboratories which demonstrated acceptable performance
lab_sm		Number of laboratories providing TB diagnostic services using smear microscopy
lab_sm_eqa		Number of smear microscopy laboratories for which External Quality Assessment (EQA) was carried out
lab_sm_eqa_pass		Number of smear microscopy laboratories which demonstrated acceptable performance
lab_sm_led		Number of laboratories providing TB diagnostic services using LED microscopes for smear microscopy
lab_xpert		Number of laboratories providing TB diagnostic services using xpert MTB/RIF
lab_xpert_eqa		Number of laboratories providing TB diagnostic services using xpert MTB/RIF for which External Quality Assessment (EQA) was carried out
lpa		Number of sites providing Line Probe Assay services at the end of the reporting year
lpa_eqa_pass		Number of sites providing Line Probe Assay services that demonstrated proficiency by panel testing
nrl	0=No; 1=yes	Was there a national reference laboratory or laboratories (NRL)?
nrl_iso15189	0=No; 1=yes	Has the national reference laboratory (or national reference laboratories) achieved national or international accreditation according to the ISO 15189 standard?
nrl_qms	0=No; 1=yes	Has a formal quality management system towards achieving laboratory accreditation been implemented at the National Reference Laboratory?
nrl_srl_link	0=No; 1=yes	Has a formal link been established between the National Reference Laboratory and a partner Supranational Reference Laboratory?
qms	0=No; 1=yes	Is a formal quality management system towards achieving accreditation being implemented in all laboratories conducting culture, LPA and/or DST?
sldst		Number of sites providing phenotypic drug susceptibility testing for first-line drugs and second-line drugs at the end of the reporting year
sldst_avail_incntry	0=No; 1=yes	Was second-line drug susceptibility testing available within the country for TB National Treatment Programme patients?
sldst_avail_outcntry	0=No; 1=yes	Was second-line drug susceptibility testing available outside the country for TB National Treatment Programme patients?
sldst_eqa_pass		Number of sites providing phenotypic drug susceptibility testing for first-line drugs and second-line drugs that demonstrated proficiency by panel testing
sllpa		Number of sites providing Line Probe Assay (LPA) services for rifampicin, isoniazid, fluoroquinolones, second-line injectables
sllpa_eqa_pass		Number of sites providing Line Probe Assay (LPA) services for rifampicin, isoniazid, fluoroquinolones, second-line injectables that demonstrated proficiency by panel testing
smear		Number of sites providing TB diagnostic services using smear microscopy at the end of the reporting year
smear_eqa		Number of sites providing TB diagnostic services using smear microscopy covered by a comprehensive EQA system
xpert		Number of sites providing TB diagnostic services using Xpert MTB/RIF at the end of the reporting year
xpert_eqa		Number of sites providing TB diagnostic services using Xpert MTB/RIF covered by a comprehensive EQA system
xpert_etrans		Number of sites using Xpert MTB/RIF which transmit results automatically to clinicians and to an information management system
 e_prevtx_kids_pct		Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy
 e_prevtx_kids_pct_hi		Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy: High bound
 e_prevtx_kids_pct_lo		Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy: Low bound
e_hh_size		Estimated average household size
e_prevtx_eligible		Estimated number of children aged under 5 who are household contacts of TB cases who are eligible for TB preventive therapy
e_prevtx_eligible_hi		Estimated number of children aged under 5 who are household contacts of TB cases who are eligible for TB preventive therapy: high bound
e_prevtx_eligible_lo		Estimated number of children aged under 5 who are household contacts of TB cases who are eligible for TB preventive therapy: low bound
source_hh		Source of estimate of average household size
tbhiv_sentin_cil		Lower limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using sentinel sites
tbhiv_sentin_ciu		Upper limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using sentinel sites
tbhiv_sentin_prev		Prevalence (%) of HIV in TB patients estimated using sentinel sites
tbhiv_sentin_yr		Year in which prevalence of HIV in TB patients was estimated using sentinel sites
tbhiv_surv_cil		Lower limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using nationwide representative surveys
tbhiv_surv_ciu		Upper limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using nationwide representative surveys
tbhiv_surv_prev		"Prevalence (%) of HIV in TB patients estimated using nationwide representative
surveys"
tbhiv_surv_yr		Year in which prevalence of HIV in TB patients was estimated using nationwide representative surveys
agegroup_option	220=all defined in 2013 reporting framework plus 4-9 10-14 15-19 20-24 age groups; 221=all; 222=all except for 5-9 and 10-14 age groups; 223=only 0-4 5-14 and 15+ age groups	The set of age groups by which notifications have been disaggregated
all_conf_xdr		Number of laboratory-confirmed XDR-TB cases identified in the current year (including in MDR cases diagnosed in previous years).
c_newinc		Total of new and relapse cases and cases with unknown previous TB treatment history
conf_mdr		Number of laboratory-confirmed MDR-TB cases identified
conf_mdr_tx		Number of laboratory-confirmed MDR-TB patients who started treatment for MDR-TB
conf_rrmdr		Number of laboratory-confirmed RR-TB or MDR-TB cases identified
conf_rrmdr_tx		Number of laboratory-confirmed rifampicin-resistant (RR-TB) or multidrug-resistant TB (MDR-TB) patients who started treatment for MDR-TB
conf_xdr_tx		Number of laboratory-confirmed XDR-TB patients who started treatment for XDR-TB
hiv_art		HIV-positive TB patients started or continued on antiretroviral therapy (ART)
hiv_cpt		HIV-positive TB patients started or continued on co-trimoxazole preventive therapy (CPT)
hiv_ipt		People living with HIV newly enrolled in HIV treatment who started treatment for latent TB infection
hiv_ipt_reg_all		People living with HIV currently enrolled in HIV treatment who started treatment for latent TB infection
hiv_reg		Total number of people registered as HIV-positive regardless of year of diagnosis. (Total number of adults and children enrolled in HIV care; includes everyone in the HIV care and/or ART register)
hiv_reg_all		Number of adults and children currently enrolled in HIV treatment during the year.
hiv_reg_new		Number of adults and children newly enrolled in HIV treatment  (i.e. those who registered for antiretroviral therapy) during the reporting period
hiv_reg_new2		Total number of adults and children newly enrolled in HIV treatment  (i.e. those who registered for antiretroviral therapy) during the reporting period
hiv_tbdetect		Total number of adults and children newly enrolled in HIV treatment who are diagnosed as having active TB disease during the reporting period
hiv_tbscr		Number of adults and children enrolled in HIV care who had their TB status assessed and recorded during their last visit
hivtest		TB patients (new and re-treatment) with an HIV test result recorded in the TB register
hivtest_pos		TB patients (new and re-treatment) recorded as HIV-positive
mdr_shortreg_tx		Number of patients started on shorter MDR-TB treatment regiments during the reporting year
mdr_shortreg_used	0=No; 1=Yes; 3=Don't know	Had any patients been started on shorter MDR-TB treatment regimens by the end of the reporting year?
mdr_tx_adsm		Number of patients actively monitored for adverse events while on MDR-TB treatment in the reporting year
mdr_tx_adverse_events		Number of patients on MDR-TB treatment who had adverse events registered in the reporting year
mdrxdr_alloral_tx		Number of patients started on all oral longer MDR-TB treatment regimens during the reporting year
mdrxdr_alloral_used	0=No; 1=Yes; 3=Don't know	Had any patients been started on all oral longer MDR-TB treatment regimens by the end of reporting year?
mdrxdr_bdq_tx		Number of patients started on Bedaquiline during the reporting year
